Standard_Number,Description,Label,Catalog,Edition_Date,Type,English?,Category,Topic,Keyword1,Keyword2,Keyword3,Keyword4,Keyword5
60745- 2-6,Hand-Held Motor-Operated Electric Tools - Safety - Part 2-6: Particular Requirements for Hammers,Ed. 2,UL,"March 26, 2004",ulcsaiec,True,,Hand-Held Motor-Operated Electric Tools - Safety - Part 2-6: Particular Requirements for Hammers,Hand-Held Motor-Operated Electric Tools,Motor-Operated Electric Tools,Hand-Held Motor-Operated Electric,Electric Tools,Requirements for Hammers
60745- 2-8,Hand-Held Motor-Operated Electric Tools - Safety - Part 2-8: Particular Requirements for Shears And Nibblers,Ed. 2,UL,"March 26, 2004",ulcsaiec,True,,Hand-Held Motor-Operated Electric Tools - Safety - Part 2-8: Particular Requirements for Shears And Nibblers,Hand-Held Motor-Operated Electric Tools,Requirements for Shears And Nibblers,Motor-Operated Electric Tools,Hand-Held Motor-Operated Electric,Electric Tools
60745- 2-9,Hand-Held Motor-Operated Electric Tools - Safety - Part 2-9: Particular Requirements for Tappers,Ed. 2,UL,"March 26, 2004",ulcsaiec,True,,Hand-Held Motor-Operated Electric Tools - Safety - Part 2-9: Particular Requirements for Tappers,Hand-Held Motor-Operated Electric Tools,Motor-Operated Electric Tools,Hand-Held Motor-Operated Electric,Electric Tools,Requirements for Tappers
60745- 2-11,Hand-Held Motor-Operated Electric Tools - Safety - Part 2-11: Particular Requirements for Reciprocating Saws,Ed. 2,UL,"March 26, 2004",ulcsaiec,True,,Hand-Held Motor-Operated Electric Tools - Safety - Part 2-11: Particular Requirements for Reciprocating Saws,Hand-Held Motor-Operated Electric Tools,Motor-Operated Electric Tools,Hand-Held Motor-Operated Electric,Electric Tools,Part 2-11
60745- 2-12,Hand-Held Motor-Operated Electric Tools - Safety - Part 2-12: Particular Requirements for Concrete Vibrators,Ed. 2,UL,"March 21, 2005",ulcsaiec,True,,Hand-Held Motor-Operated Electric Tools - Safety - Part 2-12: Particular Requirements for Concrete Vibrators,Hand-Held Motor-Operated Electric Tools,Requirements for Concrete Vibrators,Motor-Operated Electric Tools,Hand-Held Motor-Operated Electric,Electric Tools
60745- 2-13,Hand-Held Motor-Operated Electric Tools – Safety – Part 2-13: Particular Requirements for Chain Saws,Ed. 1,UL,"December 08, 2011",ulcsaiec,False,,Hand-Held Motor-Operated Electric Tools – Safety – Part 2-13: Particular Requirements for Chain Saws,Hand-Held Motor-Operated Electric Tools,Motor-Operated Electric Tools,Hand-Held Motor-Operated Electric,Electric Tools,Part 2-13
60745- 2-14,Hand-Held Motor-Operated Electric Tools - Safety - Part 2-14: Particular Requirements for Planers,Ed. 2,UL,"March 26, 2004",ulcsaiec,True,,Hand-Held Motor-Operated Electric Tools - Safety - Part 2-14: Particular Requirements for Planers,Hand-Held Motor-Operated Electric Tools,Motor-Operated Electric Tools,Hand-Held Motor-Operated Electric,Electric Tools,Requirements for Planers
60745- 2-15,Subject 60745-2-15,Ed. 1,UL,"June 28, 2010",ulcsaiec,True,,Subject 60745-2-15,Subject,,,,
60745- 2-16,Hand-Held Motor-Operated Electric Tools - Safety - Part 2-16: Particular Requirements for Tackers,Ed. 1,UL,"November 18, 2009",ulcsaiec,True,,Hand-Held Motor-Operated Electric Tools - Safety - Part 2-16: Particular Requirements for Tackers,Hand-Held Motor-Operated Electric Tools,Motor-Operated Electric Tools,Hand-Held Motor-Operated Electric,Electric Tools,Requirements for Tackers
60745- 2-17,Hand-Held Motor-Operated Electric Tools - Safety - Part 2-17: Particular Requirements for Routers And Trimmers,Ed. 3,UL,"February 25, 2011",ulcsaiec,True,,Hand-Held Motor-Operated Electric Tools - Safety - Part 2-17: Particular Requirements for Routers And Trimmers,Hand-Held Motor-Operated Electric Tools,Requirements for Routers And Trimmers,Motor-Operated Electric Tools,Hand-Held Motor-Operated Electric,Electric Tools
60745- 2-18,Hand-Held Motor-Operated Electric Tools - Safety - Part 2-18: Particular Requirements for Strapping Tools,Ed. 1,UL,"March 21, 2005",ulcsaiec,True,,Hand-Held Motor-Operated Electric Tools - Safety - Part 2-18: Particular Requirements for Strapping Tools,Hand-Held Motor-Operated Electric Tools,Requirements for Strapping Tools,Motor-Operated Electric Tools,Hand-Held Motor-Operated Electric,Electric Tools
60745- 2-19,Hand-Held Motor-Operated Electric Tools - Safety - Part 2-19: Particular Requirements for Jointers,Ed. 1,UL,"November 25, 2005",ulcsaiec,True,,Hand-Held Motor-Operated Electric Tools - Safety - Part 2-19: Particular Requirements for Jointers,Hand-Held Motor-Operated Electric Tools,Motor-Operated Electric Tools,Hand-Held Motor-Operated Electric,Electric Tools,Requirements for Jointers
60745- 2-20,Hand-Held Motor-Operated Electric Tools - Safety - Part 2-20: Particular Requirements for Band Saws,Ed. 1,UL,"March 21, 2005",ulcsaiec,True,,Hand-Held Motor-Operated Electric Tools - Safety - Part 2-20: Particular Requirements for Band Saws,Hand-Held Motor-Operated Electric Tools,Motor-Operated Electric Tools,Hand-Held Motor-Operated Electric,Electric Tools,Part 2-20
60745- 2-21,Hand-Held Motor-Operated Electric Tools - Safety - Part 2-21: Particular Requirements for Drain Cleaners,Ed. 1,UL,"March 21, 2005",ulcsaiec,True,,Hand-Held Motor-Operated Electric Tools - Safety - Part 2-21: Particular Requirements for Drain Cleaners,Hand-Held Motor-Operated Electric Tools,Requirements for Drain Cleaners,Motor-Operated Electric Tools,Hand-Held Motor-Operated Electric,Electric Tools
60745- 2-22,Subject 60745-2-22,Ed. 1,UL,"July 20, 2012",ulcsaiec,True,,Subject 60745-2-22,Subject,,,,
60745- 2-23,Hand-Held Motor-Operated Electric Tools - Safety - Part 2-23: Particular Requirements for Die Grinders And Small Rotary Tools,Ed. 1,UL,"September 20, 2013",ulcsaiec,True,,Hand-Held Motor-Operated Electric Tools - Safety - Part 2-23: Particular Requirements for Die Grinders And Small Rotary Tools,Grinders And Small Rotary Tools,Die Grinders And Small Rotary,Hand-Held Motor-Operated Electric Tools,Small Rotary Tools,Requirements for Die Grinders
60832- 1,Live Working - Insulating Sticks And Attachable Devices - Part 1: Insulating Sticks Travaux Sous Tension – Perches Isolantes Et Outils Adaptables – Partie 1: Perches Isolantes,Ed. 1,ULC,"December 01, 2010",ululc,False,,Live Working - Insulating Sticks And Attachable Devices - Part 1: Insulating Sticks Travaux Sous Tension – Perches Isolantes Et Outils Adaptables – Partie 1: Perches Isolantes,Insulating Sticks Travaux Sous Tension,Insulating Sticks Travaux Sous,Sticks Travaux Sous Tension,Insulating Sticks And Attachable Devices,Perches Isolantes Et Outils Adaptables
60832- 2,Live Working – Insulating Sticks And Attachable Devices – Part 2: Attachable Devices Travaux Sous Tension – Perches Isolantes Et Outils Adaptables – Partie 2: Outils Adaptables,Ed. 1,ULC,"December 01, 2010",ululc,False,,Live Working – Insulating Sticks And Attachable Devices – Part 2: Attachable Devices Travaux Sous Tension – Perches Isolantes Et Outils Adaptables – Partie 2: Outils Adaptables,Attachable Devices Travaux Sous Tension,Devices Travaux Sous Tension,Attachable Devices Travaux Sous,Perches Isolantes Et Outils Adaptables,Insulating Sticks And Attachable Devices
60839- 11-1,"Alarm And Electronic Security Systems - Part 11-1: Electronic Access Control Systems - System And Components Requirements (Iec 60839-11-1:2013, Mod) / Systèmes D'Alarme Et De Sécurité Électroniques - Partie 11-1: Systèmes De Contrôle D'Accès Électronique - Exigences Systèmes Et Exigences Concernant Les Composants (Cei 60839-11-1:2013, Mod)",Ed. 2,ULC,"May 31, 2022",canulc,False,,"Alarm And Electronic Security Systems - Part 11-1: Electronic Access Control Systems - System And Components Requirements (Iec 60839-11-1:2013, Mod)",Electronic Access Control Systems,Alarm And Electronic Security Systems,Electronic Access Control,Access Control Systems,Electronic Security Systems
60839- 11-2,"Alarm And Electronic Security Systems - Part 11-2: Electronic Access Control Systems - Application Guidelines (Iec 60839-11-2:2014, Mod) / Systèmes D'Alarme Et De Sécurité Électroniques - Partie 11-2: Systèmes De Contrôle D'Accès Électronique - Lignes Directrices D'Application (Cei 60839-11-2:2014, Mod)",Ed. 1,ULC,"July 29, 2022",canulc,False,,"Alarm And Electronic Security Systems - Part 11-2: Electronic Access Control Systems - Application Guidelines (Iec 60839-11-2:2014, Mod)",Electronic Access Control Systems,Alarm And Electronic Security Systems,Access Control Systems,Electronic Security Systems,Electronic Access Control
60855- 1,Live Working - Insulating Foam-Filled Tubes And Solid Rods - Part 1: Tubes And Rods of A Circular Cross-Section / Travaux Sous Tension - Tubes Isolants Repmplis De Mousse Et Tiges Isolants Pleines - Partie 1: Tubes Et Tiges De Section Circulaire,Ed. 1,ULC,"August 01, 2016",ululc,True,,Live Working - Insulating Foam-Filled Tubes And Solid Rods - Part 1: Tubes And Rods of A Circular Cross-Section / Travaux Sous Tension - Tubes Isolants Repmplis De Mousse Et Tiges Isolants Pleines - Partie 1: Tubes Et Tiges De Section Circulaire,Tubes Et Tiges De Section,Mousse Et Tiges Isolants Pleines,Tubes Isolants Repmplis De Mousse,Insulating Foam-Filled Tubes And Solid,Foam-Filled Tubes And Solid Rods
60895,Live Working - Conductive Clothing / Travaux Sous Tension - Vêtements Conducteurs,Ed. 3,ULC,"August 26, 2021",,False,,Live Working - Conductive Clothing,Conductive Clothing,Live Working,Working,Conductive,Clothing
60900,Live Working - Hand Tools for Use Up To 1 000 V Ac And 1 500 V Dc / Travaux Sous Tension - Outils À Main Pour Usage Jusqu'À 1 000 V En Courant Alternatif Et 1 500 V En Courant Continu,Ed. 4,ULC,"August 26, 2021",,False,,Live Working - Hand Tools for Use Up To 1 000 V Ac And 1 500 V Dc,Hand Tools,Live Working,Working,Hand,Tools
60903,Live Working – Electrical Insulating Gloves Travaux Sous Tension – Gants Isolants Électriques,Ed. 3,ULC,"June 01, 2015",ululc,False,,Live Working – Electrical Insulating Gloves Travaux Sous Tension – Gants Isolants Électriques,Electrical Insulating Gloves Travaux Sous,Insulating Gloves Travaux Sous Tension,Electrical Insulating Gloves Travaux,Gloves Travaux Sous Tension,Insulating Gloves Travaux Sous
60939- 3,Passive Filter Units for Electromagnetic Interference Suppression - Part 3: Passive Filter Units for Which Safety Tests Are Appropriate,Ed. 1,UL,"July 22, 2016",uliec,True,,Passive Filter Units for Electromagnetic Interference Suppression - Part 3: Passive Filter Units for Which Safety Tests Are Appropriate,Passive Filter Units for Electromagnetic,Units for Electromagnetic Interference Suppression,Filter Units for Electromagnetic Interference,Passive Filter Units,Filter Units for Electromagnetic
60947- 1,Low-Voltage Switchgear And Controlgear - Part 1: General Rules,Ed. 6,UL,"May 31, 2022",ulcsance,True,,Low-Voltage Switchgear And Controlgear - Part 1: General Rules,Low-Voltage Switchgear And Controlgear,General Rules,Switchgear And Controlgear,Low-Voltage Switchgear,Part
60947- 4-1,Low-Voltage Switchgear And Controlgear - Part 4-1: Contactors And Motor-Starters - Electromechanical Contactors And Motor-Starters,Ed. 4,UL,"May 31, 2022",ulcsaiec,True,,Low-Voltage Switchgear And Controlgear - Part 4-1: Contactors And Motor-Starters - Electromechanical Contactors And Motor-Starters,Electromechanical Contactors And Motor-Starters,Low-Voltage Switchgear And Controlgear,Contactors And Motor-Starters,Switchgear And Controlgear,Electromechanical Contactors
60947- 4-2,Low-Voltage Switchgear And Controlgear - Part 4-2: Contactors And Motor-Starters - Ac Semiconductor Motor Controllers And Starters,Ed. 2,UL,"May 31, 2022",ulcsaiec,True,,Low-Voltage Switchgear And Controlgear - Part 4-2: Contactors And Motor-Starters - Ac Semiconductor Motor Controllers And Starters,Semiconductor Motor Controllers And Starters,Motor Controllers And Starters,Low-Voltage Switchgear And Controlgear,Semiconductor Motor Controllers,Switchgear And Controlgear
60947- 5-1,Low-Voltage Switchgear And Controlgear - Part 5-1: Control Circuit Devices And Switching Elements - Electromechanical Control Circuit Devices,Ed. 4,UL,"May 31, 2022",ulcsaiec,True,,Low-Voltage Switchgear And Controlgear - Part 5-1: Control Circuit Devices And Switching Elements - Electromechanical Control Circuit Devices,Electromechanical Control Circuit Devices,Circuit Devices And Switching Elements,Control Circuit Devices And Switching,Control Circuit Devices,Electromechanical Control Circuit
60947- 5-2,Low-Voltage Switchgear And Controlgear - Part 5-2: Control Circuit Devices And Switching Elements - Proximity Switches,Ed. 4,UL,"March 31, 2022",ulcsaiec,True,,Low-Voltage Switchgear And Controlgear - Part 5-2: Control Circuit Devices And Switching Elements - Proximity Switches,Control Circuit Devices And Switching,Circuit Devices And Switching Elements,Control Circuit Devices,Devices And Switching Elements,Low-Voltage Switchgear And Controlgear
60947- 5-5,Standard for Low-Voltage Switchgear And Controlgear - Part 5-5: Control Circuit Devices And Switching Elements - Electrical Emergency Stop Device With Mechanical Latching Function,Ed. 1,UL,"August 11, 2017",uliec,True,Standard,Low-Voltage Switchgear And Controlgear - Part 5-5: Control Circuit Devices And Switching Elements - Electrical Emergency Stop Device With Mechanical Latching Function,Electrical Emergency Stop Device,Control Circuit Devices And Switching,Circuit Devices And Switching Elements,Device With Mechanical Latching Function,Emergency Stop Device With Mechanical
60947- 7-1,Standard for Low-Voltage Switchgear And Controlgear - Part 7-1: Ancillary Equipment - Terminal Blocks for Copper Conductors,Ed. 4,UL,"January 27, 2017",ulcsance,True,Standard,Low-Voltage Switchgear And Controlgear - Part 7-1: Ancillary Equipment - Terminal Blocks for Copper Conductors,Terminal Blocks for Copper Conductors,Terminal Blocks for Copper,Blocks for Copper Conductors,Low-Voltage Switchgear And Controlgear,Ancillary Equipment
60947- 7-2,Standard for Low-Voltage Switchgear And Controlgear - Part 7-2: Ancillary Equipment - Protective Conductor Terminal Blocks for Copper Conductors,Ed. 4,UL,"January 27, 2017",ulcsance,True,Standard,Low-Voltage Switchgear And Controlgear - Part 7-2: Ancillary Equipment - Protective Conductor Terminal Blocks for Copper Conductors,Protective Conductor Terminal Blocks,Conductor Terminal Blocks for Copper,Terminal Blocks for Copper Conductors,Low-Voltage Switchgear And Controlgear,Protective Conductor Terminal
60947- 7-3,Low-Voltage Switchgear And Controlgear - Part 7-3: Ancillary Equipment - Safety Requirements for Fuse Terminal Blocks,Ed. 3,UL,"January 27, 2017",ulcsance,True,,Low-Voltage Switchgear And Controlgear - Part 7-3: Ancillary Equipment - Safety Requirements for Fuse Terminal Blocks,Safety Requirements for Fuse Terminal,Requirements for Fuse Terminal Blocks,Safety Requirements for Fuse,Fuse Terminal Blocks,Low-Voltage Switchgear And Controlgear
60947- 7-4,Low-Voltage Switchgear And Controlgear - Part 7-4: Ancillary Equipment - Pcb Terminal Blocks for Copper Conductors,Ed. 1,UL,"April 27, 2018",ulcsance,True,,Low-Voltage Switchgear And Controlgear - Part 7-4: Ancillary Equipment - Pcb Terminal Blocks for Copper Conductors,Pcb Terminal Blocks for Copper,Terminal Blocks for Copper Conductors,Pcb Terminal Blocks,Blocks for Copper Conductors,Low-Voltage Switchgear And Controlgear
60950- 1,Information Technology Equipment - Safety - Part 1: General Requirements,Ed. 2,UL,"March 27, 2007",uliec,True,,Information Technology Equipment - Safety - Part 1: General Requirements,Information Technology Equipment,General Requirements,Technology Equipment,Information Technology,Safety
60950- 21,Information Technology Equipment - Safety - Part 21: Remote Power Feeding,Ed. 1,UL,"November 10, 2003",ulcsaiec,True,,Information Technology Equipment - Safety - Part 21: Remote Power Feeding,Remote Power Feeding,Information Technology Equipment,Technology Equipment,Remote Power,Power Feeding
60950- 22,Information Technology Equipment - Safety - Part 22: Equipment To Be Installed Outdoors,Ed. 2,UL,"March 31, 2017",ulcsaiec,True,,Information Technology Equipment - Safety - Part 22: Equipment To Be Installed Outdoors,Information Technology Equipment,Equipment To Be Installed Outdoors,Installed Outdoors,Information Technology,Technology Equipment
60950- 23,Information Technology Equipment - Safety - Part 23: Large Data Storage Equipment,Ed. 1,UL,"April 23, 2007",ulcsaiec,True,,Information Technology Equipment - Safety - Part 23: Large Data Storage Equipment,Large Data Storage Equipment,Large Data Storage,Data Storage Equipment,Information Technology Equipment,Large Data
60974- 1,Standard for Arc Welding Equipment; Part 1: Welding Power Sources,Ed. 1,UL,"March 17, 2005",uliec,True,Standard,Arc Welding Equipment; Part 1: Welding Power Sources,Welding Power Sources,Arc Welding Equipment,Power Sources,Welding Equipment,Welding Power
60984,Sleeves of Insulating Material for Live Working Protège-Bras En Matériaux Isolants Pour Travaux Electriques,Ed. 1,ULC,"August 10, 2012",ululc,False,,Sleeves of Insulating Material for Live Working Protège-Bras En Matériaux Isolants Pour Travaux Electriques,Matériaux Isolants Pour Travaux Electriques,Isolants Pour Travaux Electriques,Insulating Material for Live Working,Matériaux Isolants Pour Travaux,Material for Live Working Protège-Bras
61010- 1,"Safety Requirements for Electrical Equipment for Measurement, Control, And Laboratory Use - Part 1: General Requirements",Ed. 3,UL,"May 11, 2012",ulcsaiecisa,True,Safety Requirement,"Electrical Equipment for Measurement, Control, And Laboratory Use - Part 1: General Requirements",Electrical Equipment for Measurement,General Requirements,Equipment for Measurement,Electrical Equipment,Control
61010- 2-010,"Safety Requirements for Electrical Equipment for Measurement, Control And Laboratory Use - Part 2-010: Particular Requirements for Laboratory Equipment for The Heating of Materials",Ed. 4,UL,"June 27, 2019",uliec,True,Safety Requirement,"Electrical Equipment for Measurement, Control And Laboratory Use - Part 2-010: Particular Requirements for Laboratory Equipment for The Heating of Materials",Electrical Equipment for Measurement,Requirements for Laboratory Equipment,Laboratory Equipment for The Heating,Heating of Materials,Equipment for Measurement
61010- 2-011,"Electrical Equipment for Measurement, Control, And Laboratory Use - Part 2-011: Particular Requirements for Refrigerating Equipment",Ed. 2,UL,"May 13, 2021",uliec,True,,"Electrical Equipment for Measurement, Control, And Laboratory Use - Part 2-011: Particular Requirements for Refrigerating Equipment",Requirements for Refrigerating Equipment,Electrical Equipment for Measurement,Part 2-011,Requirements for Refrigerating,Refrigerating Equipment
61010- 2-012,"Safety Requirements for Electrical Equipment for Measurement, Control, And Laboratory Use - Part 2-012: Particular Requirements for Climatic And Environmental Testing And Other Temperature Conditioning Equipment",Ed. 2,UL,"June 15, 2022",uliec,True,Safety Requirement,"Electrical Equipment for Measurement, Control, And Laboratory Use - Part 2-012: Particular Requirements for Climatic And Environmental Testing And Other Temperature Conditioning Equipment",Requirements for Climatic And Environmental,Climatic And Environmental Testing,Temperature Conditioning Equipment,Electrical Equipment for Measurement,Environmental Testing And Other Temperature
61010- 2-020,"Electrical Equipment for Measurement, Control, And Laboratory Use - Part 2-020: Particular Requirements for Laboratory Equipment for Laboratory Centrifuges",Ed. 3,UL,"December 15, 2016",uliec,True,,"Electrical Equipment for Measurement, Control, And Laboratory Use - Part 2-020: Particular Requirements for Laboratory Equipment for Laboratory Centrifuges",Laboratory Equipment for Laboratory Centrifuges,Electrical Equipment for Measurement,Equipment for Laboratory Centrifuges,Requirements for Laboratory Equipment,Laboratory Equipment for Laboratory
61010- 2-030,"Safety Requirements for Electrical Equipment for Measurement, Control, And Laboratory Use - Part 2-030: Particular Requirements for Equipment Having Testing Or Measuring Circuits",Ed. 2,UL,"December 21, 2018",ulcsaiec,True,Safety Requirement,"Electrical Equipment for Measurement, Control, And Laboratory Use - Part 2-030: Particular Requirements for Equipment Having Testing Or Measuring Circuits",Testing Or Measuring Circuits,Electrical Equipment for Measurement,Equipment Having Testing Or Measuring,Measuring Circuits,Part 2-030
61010- 2-032,"Safety Requirements for Electrical Equipment for Measurement, Control, And Laboratory Use - Part 2-032: Particular Requirements for Hand-Held And Hand-Manipulated Current Sensors for Electrical Test And Measurement",Ed. 2,UL,"January 10, 2020",uliec,True,Safety Requirement,"Electrical Equipment for Measurement, Control, And Laboratory Use - Part 2-032: Particular Requirements for Hand-Held And Hand-Manipulated Current Sensors for Electrical Test And Measurement",Hand-Held And Hand-Manipulated Current Sensors,Current Sensors for Electrical Test,Hand-Manipulated Current Sensors for Electrical,Hand-Manipulated Current Sensors,Electrical Equipment for Measurement
61010- 2-033,"Safety Requirements for Electrical Equipment for Measurement, Control And Laboratory Use – Part 2-033: Particular Requirements for Hand-Held Multimeters for Domestic And Professional Use, Capable of Measuring Mains Voltage",Ed. 2,UL,"January 10, 2020",uliec,False,Safety Requirement,"Electrical Equipment for Measurement, Control And Laboratory Use – Part 2-033: Particular Requirements for Hand-Held Multimeters for Domestic And Professional Use, Capable of Measuring Mains Voltage",Capable of Measuring Mains Voltage,Capable of Measuring Mains,Measuring Mains Voltage,Electrical Equipment for Measurement,Multimeters for Domestic And Professional
61010- 2-034,"Electrical Equipment for Measurement, Control, And Laboratory Use - Part 2-034: Particular Requirements for Measurement Equipment for Insulation Resistance And Test Equipment for Electric Strength",Ed. 1,UL,"January 10, 2020",uliec,True,,"Electrical Equipment for Measurement, Control, And Laboratory Use - Part 2-034: Particular Requirements for Measurement Equipment for Insulation Resistance And Test Equipment for Electric Strength",Test Equipment for Electric Strength,Measurement Equipment for Insulation Resistance,Insulation Resistance And Test Equipment,Equipment for Electric Strength,Requirements for Measurement Equipment
61010- 2-040,"Safety Requirements for Electrical Equipment for Measurement, Control, And Laboratory Use - Part 2-040: Particular Requirements for Sterilizers And Washer-Disinfectors Used To Treat Medical Materials",Ed. 3,UL,"February 17, 2021",uliec,True,Safety Requirement,"Electrical Equipment for Measurement, Control, And Laboratory Use - Part 2-040: Particular Requirements for Sterilizers And Washer-Disinfectors Used To Treat Medical Materials",Treat Medical Materials,Electrical Equipment for Measurement,Requirements for Sterilizers And Washer-Disinfectors,Washer-Disinfectors Used To Treat Medical,Equipment for Measurement
61010- 2-051,"Safety Requirements for Electrical Equipment for Measurement, Control And Laboratory Use - Part 2-051: Particular Requirements for Laboratory Equipment for Mixing And Stirring",Ed. 4,UL,"June 27, 2019",uliec,True,Safety Requirement,"Electrical Equipment for Measurement, Control And Laboratory Use - Part 2-051: Particular Requirements for Laboratory Equipment for Mixing And Stirring",Equipment for Mixing And Stirring,Electrical Equipment for Measurement,Laboratory Equipment for Mixing,Requirements for Laboratory Equipment,Mixing And Stirring
61010- 2-061,"Safety Requirements for Electrical Equipment for Measurement, Control And Laboratory Use - Part 2-061: Particular Requirements for Laboratory Atomic Spectrometers With Thermal Atomization And Ionization",Ed. 4,UL,"June 27, 2019",uliec,True,Safety Requirement,"Electrical Equipment for Measurement, Control And Laboratory Use - Part 2-061: Particular Requirements for Laboratory Atomic Spectrometers With Thermal Atomization And Ionization",Atomic Spectrometers With Thermal Atomization,Laboratory Atomic Spectrometers With Thermal,Requirements for Laboratory Atomic Spectrometers,Thermal Atomization And Ionization,Electrical Equipment for Measurement
61010- 2-081,"Safety Requirements for Electrical Equipment for Measurement, Control And Laboratory Use - Part 2-081: Particular Requirements for Automatic And Semi-Automatic Laboratory Equipment for Analysis And Other Purposes",Ed. 3,UL,"July 31, 2019",uliec,True,Safety Requirement,"Electrical Equipment for Measurement, Control And Laboratory Use - Part 2-081: Particular Requirements for Automatic And Semi-Automatic Laboratory Equipment for Analysis And Other Purposes",Automatic And Semi-Automatic Laboratory Equipment,Semi-Automatic Laboratory Equipment for Analysis,Electrical Equipment for Measurement,Laboratory Equipment for Analysis,Requirements for Automatic And Semi-Automatic
61010- 2-091,"Standard for Safety Requirements for Electrical Equipment for Measurement, Control, And Laboratory Use - Part 2-091: Particular Requirements for Cabinet X-Ray Systems",Ed. 2,UL,"July 31, 2019",uliec,True,Standard for Safety Requirement,"Electrical Equipment for Measurement, Control, And Laboratory Use - Part 2-091: Particular Requirements for Cabinet X-Ray Systems",Requirements for Cabinet X-Ray Systems,Electrical Equipment for Measurement,Cabinet X-Ray Systems,Requirements for Cabinet X-Ray,Equipment for Measurement
61010- 2-101,"Safety Requirements for Electrical Equipment for Measurement, Control And Laboratory Use - Part 2-101: Particular Requirements for In Vitro Diagnostic (Ivd) Medical Equipment",Ed. 3,UL,"July 31, 2019",uliec,True,Safety Requirement,"Electrical Equipment for Measurement, Control And Laboratory Use - Part 2-101: Particular Requirements for In Vitro Diagnostic (Ivd) Medical Equipment",Requirements for In Vitro Diagnostic,Electrical Equipment for Measurement,Control And Laboratory,Vitro Diagnostic,Part 2-101
61010- 2-201,"Standard for Safety Requirements for Electrical Equipment for Measurement, Control, And Laboratory Use - Part 2-201: Particular Requirements for Control Equipment",Ed. 2,UL,"May 14, 2018",uliec,True,Standard for Safety Requirement,"Electrical Equipment for Measurement, Control, And Laboratory Use - Part 2-201: Particular Requirements for Control Equipment",Electrical Equipment for Measurement,Requirements for Control Equipment,Part 2-201,Electrical Equipment,Control Equipment
61010- 031,"Safety Requirements for Electrical Equipment for Measurement, Control And Laboratory Use - Part 031: Safety Requirements for Hand-Held Probe Assemblies for Electrical Measurement And Test",Ed. 2,UL,"January 27, 2017",ulcsaiec,True,Safety Requirement,"Electrical Equipment for Measurement, Control And Laboratory Use - Part 031: Safety Requirements for Hand-Held Probe Assemblies for Electrical Measurement And Test",Safety Requirements for Hand-Held Probe,Requirements for Hand-Held Probe Assemblies,Probe Assemblies for Electrical Measurement,Hand-Held Probe Assemblies for Electrical,Safety Requirements for Hand-Held
61010A- 1,Standard for Electrical Equipment for Laboratory Use; Part 1: General Requirements,Ed. 3,UL,"May 05, 2003",,True,Standard,Electrical Equipment for Laboratory Use; Part 1: General Requirements,Electrical Equipment for Laboratory,General Requirements,Equipment for Laboratory,Electrical Equipment,Part
61010A- 1,Electrical Equipment for Laboratory Use; Part 1: General Requirements,Ed. 2,UL,"January 16, 2004",,True,,Electrical Equipment for Laboratory Use; Part 1: General Requirements,Electrical Equipment for Laboratory,General Requirements,Equipment for Laboratory,Electrical Equipment,Part
61058- 1,Switches for Appliances - Part 1: General Requirements,Ed. 5,UL,"November 03, 2017",ulcsaiec,True,,Switches for Appliances - Part 1: General Requirements,General Requirements,Switches for Appliances,Part,Appliances,General
61058- 1-1,Switches for Appliances - Part 1-1: Requirements for Mechanical Switches,Ed. 1,UL,"November 03, 2017",ulcsaiec,True,Switches for Appliances - Part 1-1: Requirement,Mechanical Switches,Mechanical Switches,Switches,Mechanical,,
61058- 1-2,Switches for Appliances - Part 1-2: Requirements for Electronic Switches,Ed. 1,UL,"November 03, 2017",ulcsaiec,True,Switches for Appliances - Part 1-2: Requirement,Electronic Switches,Electronic Switches,Switches,Electronic,,
61058- 2-1,Standard for Switches for Appliances – Part 2: Particular Requirements for Cord Switches,Ed. 1,UL,"May 31, 2022",ulcsaiec,False,Standard,Switches for Appliances – Part 2: Particular Requirements for Cord Switches,Requirements for Cord Switches,Requirements for Cord,Cord Switches,Switches for Appliances,Part
61058- 2-5,Switches for Appliances - Part 2-5: Particular Requirements for Change-Over Selectors,Ed. 1,UL,"March 31, 2020",ulcsaiec,True,,Switches for Appliances - Part 2-5: Particular Requirements for Change-Over Selectors,Requirements for Change-Over Selectors,Switches for Appliances,Change-Over Selectors,Requirements for Change-Over,Appliances
61058- 2-6,"Switches for Appliances - Part 2-6: Particular Requirements for Switches Used In Electric Motoroperated Hand-Held Tools, Transportable Tools And Lawn And Garden Machinery",Ed. 1,UL,"March 31, 2020",ulcsaiec,True,,"Switches for Appliances - Part 2-6: Particular Requirements for Switches Used In Electric Motoroperated Hand-Held Tools, Transportable Tools And Lawn And Garden Machinery",Electric Motoroperated Hand-Held Tools,Lawn And Garden Machinery,Electric Motoroperated Hand-Held,Transportable Tools And Lawn,Motoroperated Hand-Held Tools
61111,Live Working - Electrical Insulating Matting Travaux Sous Tension – Tapis Isolants Électriques,Ed. 1,ULC,"December 01, 2010",ululc,False,,Live Working - Electrical Insulating Matting Travaux Sous Tension – Tapis Isolants Électriques,Electrical Insulating Matting Travaux Sous,Insulating Matting Travaux Sous Tension,Electrical Insulating Matting Travaux,Matting Travaux Sous Tension,Insulating Matting Travaux Sous
