Standard_Number,Description,Label,Catalog,Edition_Date,Type
6703,Standard for Connectors for Use in Photovoltaic Systems,Ed. 1,UL,"August 28, 2014",ulstd
6944,Subject 6944,Ed. 1,UL,"June 15, 2015",
6951,Subject 6951,Ed. 3,UL,"November 01, 2013",
7001,Household Refrigeration Appliances,Ed. 3,UL Environment,"October 27, 2021",ule
7002,Sustainability Standard for Household Portable and Floor Care Appliances,Ed. 1,UL Environment,"August 22, 2014",ule
7003,Sustainability for Household Clothes Washers,Ed. 2,UL Environment,"February 11, 2016",ule
7004,Sustainability Standard for Household Cooking Appliances,Ed. 2,UL Environment,"January 31, 2017",ule
7005,Sustainability for Household Clothes Drying Appliances,Ed. 2,UL Environment,"June 22, 2017",ule
7006,Sustainability for Household Room Air Conditioning Appliances,Ed. 2,UL Environment,"March 27, 2018",ule
7007,Sustainability for Household Microwave Oven Appliances,Ed. 2,UL Environment,"August 16, 2018",ule
7008,Sustainability Standard for Household Dehumidifier Appliances,Ed. 2,UL Environment,"March 12, 2019",ule
7103,Outline of Investigation for Building-Integrated Photovoltaic Roof Coverings,Ed. 1,UL,"March 29, 2019",outline
712.1,"STANDARD FOR THERMAL INSULATION - LIGHT DENSITY, OPEN CELL SPRAY APPLIED SEMI-RIGID POLYURETHANE FOAM - MATERIAL SPECIFICATION / NORME SUR L’ISOLANT THERMIQUE EN MOUSSE DE POLYURÉTHANE SEMI-RIGIDE PULVÉRISÉE, DE FAIBLE DENSITÉ ET À ALVÉOLES OUVERTS - SPÉCIFICATIONS RELATIVES AU MATÉRIAU",Ed. 2,ULC,"January 01, 2017",canulc
712.1,"STANDARD FOR THERMAL INSULATION - LIGHT DENSITY, OPEN CELL SPRAY APPLIED SEMI-RIGID POLYURETHANE FOAM - MATERIAL SPECIFICATION / NORME SUR L'ISOLANT THERMIQUE EN MOUSSE DE POLYURÉTHANE SEMI-RIGIDE PULVÉRISÉE, DE FAIBLE DENSITÉ ET À AVÉOLES OUVERTS - SPÉCIFICATIONS RELATIVES AU MATÉRIAU",Ed. 3,ULC,"November 30, 2021",ulc
713.2,STANDARD FOR SYSTEM TESTING 2 - ML / NORME SUR LES SYSTEM TESTING 2 - ML FILETÉS POUR TUYAUX D'INCENDIE DE 38 MM ET DE 65 MM,Ed. 2,ULC,"October 01, 2011",
7700-1,Outline of Investigation for Portable Pneumatic Tools,Ed. 4,UL,"July 08, 2021",outline
7700- 2-1,Outline for Portable Pneumatic Tools; Part 2: Particular Requirements for Drills and Rotary Hammers,Ed. 3,UL,"July 29, 2021",outline
7700- 2-2,"Outline of Investigation for Portable Pneumatic Tools; Part 2: Particular Requirements for Screwdrivers, Ratchets and Impact Wrenches",Ed. 3,UL,"July 29, 2021",outline
7700- 2-3,Outline of Investigation for Portable Pneumatic Tools; Part 2: Particular Requirements for Grinders,Ed. 2,UL,"August 02, 2021",outline
7700- 2-4,"Outline of Investigation for Portable Pneumatic Tools; Part 2: Particular Requirements for Sanders, Polishers and Buffers",Ed. 3,UL,"August 02, 2021",outline
7700- 2-5,Outline of Investigation for Portable Pneumatic Tools; Part 2: Particular Requirements for Circular Saws and Circular Knives,Ed. 3,UL,"August 02, 2021",outline
7700- 2-6,Outline of Investigation for Portable Pneumatic Tools; Part 2: Particular Requirements for Percussion Tools and Percussion Hammers,Ed. 3,UL,"August 02, 2021",outline
7700- 2-8,Outline of Investigation for Portable Pneumatic Tools; Part 2: Particular Requirements for Shears and Nibblers,Ed. 3,UL,"August 02, 2021",outline
7700- 2-11,Outline of Investigation for Portable Pneumatic Tools; Part 2: Particular Requirements for Reciprocating Saws,Ed. 3,UL,"August 02, 2021",outline
7700- 2-14,Outline of Investigation for Portable Pneumatic Tools; Part 2: Particular Requirements for Planers,Ed. 3,UL,"August 02, 2021",outline
7700- 2-17,Outline of Investigation for Portable Pneumatic Tools; Part 2: Particular Requirements for Routers and Trimmers,Ed. 3,UL,"August 02, 2021",outline
7700- 2-30,"Outline of Investigation for Portable Pneumatic Tools; Part 2: Particular Requirements for Nailers, Staplers and Other Fastening Tools",Ed. 4,UL,"August 03, 2018",outline
7700- 2-33,Outline of Investigation for Portable Pneumatic Tools; Part 2: Particular Requirements for Portable Band Saws,Ed. 3,UL,"August 02, 2021",outline
7700- 2-37,Outline of Investigation for Pneumatic Tools; Part 2: Particular Requirements for Plate Jointers,Ed. 3,UL,"August 02, 2021",outline
8139,Electrical Systems of Electronic Cigarettes and Vaping Devices / Systèmes électriques des cigarettes électroniques et des dispositifs de vapotage,Ed. 1,UL,"April 27, 2018",ulstd
8203,Outline of Investigation for Performance Testing for Ingress of Fibrous Indoor Dust,Ed. 1,UL,"July 20, 2017",
8203,Test Method for Performance on the Ingress of Fibrous Indoor Dust,Ed. 2,UL,"March 29, 2019",
8400,"Virtual Reality, Augmented Reality and Mixed Reality Technology Equipment / Équipement technologique de réalité virtuelle, de réalité augmentée et de réalité mixte",Ed. 1,UL,"April 28, 2023",ulstd
8521,Outline of Investigation for Aboveground Container Refueling Systems for LP-Gas,Ed. 2,UL,"August 06, 2020",outline
8703,CONCENTRATOR PHOTOVOLTAIC MODULES AND ASSEMBLIES,Ed. 3,UL,"May 02, 2011",outline
8703,CONCENTRATOR PHOTOVOLTAIC MODULES AND ASSEMBLIES,Ed. 1,UL,"July 01, 2011",
8750,Standard for Light Emitting Diode (LED) Equipment for Use in Lighting Products,Ed. 2,UL,"September 15, 2015",ulstd
8752,Organic Light Emitting Diode (OLED) Panels,Ed. 1,UL,"June 13, 2012",ululc
8752,Standard for Organic Light Emitting Diode (OLED) Panels / Norme relative aux panneaux à diodes électroluminescentes organiques (DELO),Ed. 1,ULC,"June 13, 2012",binat
8753,Field-Replaceable Light Emitting Diode (LED) Light Engines,Ed. 1,UL,"July 31, 2013",ululc
8753,Standard for Field-Replaceable Light Emitting Diode (LED) Light Engines / Norme relative aux systèmes avec module et convertisseur pour diodes électroluminescentes (DEL) remplaçables sur place,Ed. 1,ULC,"July 31, 2013",binat
8754,"Holders, Bases and Connectors for Solid-State (LED) Light Engines and Arrays",Ed. 1,UL,"July 31, 2013",ululc
8754,"Standard for Holders, Bases, and Connectors for Solid-State (LED) Light Engines and Arrays / Norme relative à l'équipement et aux systèmes basse tension des treillis de plafond suspendu",Ed. 1,ULC,"July 31, 2013",binat
8782,Outline of Investigation for Pollution Control Units for Commercial Cooking Operations,Ed. 1,UL,"January 30, 2017",outline
8800,Horticultural Lighting Equipment And Systems / Équipement et systèmes d'éclairage d'horticulture,Ed. 1,UL,"August 30, 2019",ulstd
8801,Photovoltaic (PV) Luminaire Systems / Systèmes de luminaire photovoltaïque,Ed. 1,UL,"June 15, 2022",ulstd
8802,Outline of Investigation for UV Germicidal Equipment and Systems,Ed. 4,UL,"August 30, 2021",outline
8802,Ultraviolet (UV) Germicidal Equipment and Systems,Ed. 1,UL,"April 28, 2023",csdsproposal
8802,Outline of Investigation for UV Germicidal Equipment and Systems,Ed. 5,UL,"March 16, 2023",outline
8803,Outline of Investigation for Portable UV Germicidal Equipment With Uncontained UV Sources,Ed. 1,UL,"September 02, 2021",outline
9004,Product Category Rule (PCR) for Part B: Builders Hardware,Ed. 1,UL Environment,"April 23, 2014",
9005,Product Category Rules (PCR) for Part B: Commercial Steel Doors and/or Steel Frames,Ed. 1,UL Environment,"March 10, 2015",
9540,Energy Storage Systems and Equipment / Systèmes et équipement de stockage de l,Ed. 2,UL,"February 27, 2020",ulstd
9540A,ANSI/CAN/UL Standard for Test Method for Evaluating Thermal Runaway Fire Propagation in Battery Energy Storage Systems / ANSI/CAN/UL Norme sur la méthode d’essai pour l’évaluation de la propagation du feu par emballement thermique dans les systèmes de stockage d’énergie en batterie,Ed. 4,UL,"November 12, 2019",ulstd
9595,Factory Follow-Up on Personal Flotation Devices (PFDs) / Suivi en usine des équipements individuels de flottabilité (EIF),Ed. 1,UL,"June 04, 2020",ulstd
9691,Recommended Practice for Nameplates for Use in Electrical Installations,Ed. 1,UL,"March 22, 2021",ulstd
9703,Outline of Investigation for Distributed Generation Wiring Harnesses,Ed. 3,UL,"September 26, 2018",outline
9705,FIRE TESTS - FULL-SCALE ROOM TEST FOR SURFACE PRODUCTS / ESSAIS AU FEU - ESSAI DANS UNE PIÈCE EN VRAIE GRANDEUR POUR LES PRODUITS DE SURFACE,Ed. 1,ULC,"March 01, 2013",canulc
9741,Outline of Investigation for Electric Vehicle Power Export Equipment (EVPE),Ed. 2,UL,"May 21, 2021",outline
9741,Outline of Investigation for Bidirectional Electric Vehicle (EV) Charging System Equipment,Ed. 1,UL,"October 21, 2022",csdsproposal
9798,Environmental Claim Validation Procedure (ECVP) for Biobased Content,Ed. 1,UL Environment,"February 02, 2018",ule
9990,Outline of Investigation for Information and Communication Technology (ICT) Power Cables,Ed. 4,UL,"September 27, 2021",outline
9990,Outline of Investigation for Information and Communication Technology (ICT) Power Cables,Ed. 2,UL,"October 21, 2022",csdsproposal
10001,Product Category Rules for Power Inverter Products,Ed. 1,UL Environment,"August 14, 2017",
10003,"Product Category Rule (PCR) Guidance for Wooden Pallets, EPD Requirements",Ed. 1,UL Environment,"June 19, 2019",
10004,Product Category Rules for Printers,Ed. 2,UL Environment,"April 23, 2018",
10005,Product Category Rules for Three-Zone Multi-Temperature Transport Refrigeration Units,Ed. 1,UL Environment,"April 25, 2017",
10006,Product Category Rules (PCR) for preparing an Environmental Product Declaration (EPD) for the Product Category: Tires,Ed. 3,UL Environment,"July 08, 2022",
10006J,Product Category Rules (PCR) for preparing an Environmental Product Declaration (EPD) for the Product Category: Tires (Japanese),Ed. 3,UL Environment,"November 28, 2017",
10007,Product Category Rules for Hand Dryers,Ed. 1,UL Environment,"August 18, 2017",
10010,Product Category Rules for Building Related Products and Services (Version 2.0),Ed. 2,UL Environment,"June 28, 2017",
10010,Product Category Rules for Building Related Products and Services (Version 1.3),Ed. 1,UL Environment,"June 19, 2014",
10010,Product Category Rules for Building Related Products and Services (Version 3.0),Ed. 3,UL Environment,"February 23, 2018",
10010,Product Category Rules for Building Related Products and Services (Version 3.1),Ed. 4,UL Environment,"March 05, 2018",
10010,Product Category Rules for Building Related Products and Services (Version 3.2),Ed. 5,UL Environment,"December 11, 2018",
10010,Part A: Life Cycle Assessment Calculation Rules and Report Requirements,Ed. 6,UL Environment,"March 28, 2022",
10010- 1,Product Category Rules (PCR) Guidance for Building-Related Products and Services Part B: Building Envelope Thermal Insulation EPD Requirements,Ed. 3,UL Environment,"April 06, 2023",
10010- 2,Product Category Rules (PCR) Guidance for Building-Related Products and Services Part B: Sanitary Ceramic EPD Requirements (Version 2.1),Ed. 3,UL Environment,"June 07, 2018",
10010- 3,"Product Category Rules for Part B: Mechanical, Specialty, Thermal, and Acoustic Insulation Product EPD Requirements",Ed. 1,UL Environment,"September 03, 2019",
10010- 4,Product Category Rules Part B: Water Cooled Chiller EPD Requirements (Version 2.0),Ed. 2,UL Environment,"June 28, 2018",
10010- 5,"Product Category Rules for Part B: Insulated Metal Panels, Metal Composite Panels, and Metal Cladding: Roof and Wall Panels",Ed. 2,UL Environment,"October 23, 2018",
10010- 6,Product Category Rules (PCR) Guidance for Building-Related Products and Services Part B: Plumbing Vessel EPD Requirements(Version 2.0),Ed. 3,UL Environment,"June 07, 2018",
10010- 7,Product Category Rules (PCR) Guidance for Building-Related Products and Services Part B: Flooring EPD Requirements,Ed. 1,UL Environment,"September 28, 2018",
10010- 8,Addednum for the Product Category Rules (PCR) Guidance for Building-Related Products and Services Part B: Requirements on the EPD for Bathroom Fittings and Showers,Ed. 1,UL Environment,"February 20, 2018",
10010- 9,Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Structural and Architectural Wood Products EPD Requirements (Version 1.1),Ed. 1,UL Environment,"October 21, 2019",
10010- 10,Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Wall and Door Protection EPD Requirements,Ed. 1,UL Environment,"May 22, 2019",
10010- 11,"Product Category Rules (PCR) Guidance for Building Related Products and Services Part B: Asphalt Shingles, Built-up Asphalt Membrane Roofing and Modified Bituminous Membrane Roofing EPD Requirements",Ed. 3,UL Environment,"May 24, 2021",
10010- 12,Product Category Rules for Building-Related Products and Services Part B: Metal Ceiling and Interior Wall Panel System EPD Requirements,Ed. 1,UL Environment,"January 15, 2020",
10010- 13,Product Category Rules for Building-Related Products and Services Part B: Builders Hardware EPD Requirements,Ed. 1,UL Environment,"November 15, 2019",
10010- 14,Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Requirements on the EPD for Products of aluminium and aluminium alloys,Ed. 1,UL Environment,"July 01, 2014",
10010- 15,Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Requirements on the EPD for Building metals,Ed. 1,UL Environment,"August 12, 2014",
10010- 16,Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Requirements on the EPD Coatings with organic binders,Ed. 1,UL Environment,"July 30, 2014",
10010- 17,Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Requirements on the EPD for Curtain Walling,Ed. 1,UL Environment,"July 01, 2014",
10010- 18,Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Requirements on the EPD for Metal Ceilings,Ed. 1,UL Environment,"August 29, 2014",
10010- 19,Product Category Rule (PCR) for preparing an environmental product declaration (EPD) for PCR: IBU Part B: Coatings with Organic Binders and EDF EPD for Paints,Ed. 1,UL Environment,"October 30, 2014",
10010- 20,Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Requirements on the EPD for Technical Textiles,Ed. 1,UL Environment,"December 16, 2014",
10010- 21,Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Requirements on the EPD for thin walled profiles and profiled panels of metal,Ed. 1,UL Environment,"July 30, 2014",
10010- 22,Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Piping systems for use for sewage and storm water (under gravity),Ed. 1,UL Environment,"June 10, 2014",
10010- 23,Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Wire and Cable,Ed. 1,UL Environment,"April 01, 2014",
10010- 24,Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Engineered Stone,Ed. 1,UL Environment,"October 22, 2012",
10010- 25,Product Category Rule (PCR) for Preparing an Environment Product Declaration (EPD) for Product Group Cladding Systems Products,Ed. 2,UL Environment,"April 13, 2021",
10010- 26,Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Non-Metal Ceiling Panel EPD Requirements,Ed. 2,UL Environment,"April 13, 2021",
10010- 27,Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Commercial Steel Doors and Steel Frames EPD Requirements,Ed. 1,UL Environment,"September 01, 2020",
10010- 28,Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Kitchen and Bath Fixture Fittings and Accessory Products EPD Requirements,Ed. 1,UL Environment,"October 08, 2020",
10010- 29,Product Category Rules for Part B: Concrete Masonry and Segmental Concrete Paving Product EPD Requirements (Version 1.1),Ed. 2,UL Environment,"March 01, 2022",
10010- 30,Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Joint Compound EPD Requirements,Ed. 1,UL Environment,"August 03, 2016",
10010- 31,Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Processed Glass EPD Requirements,Ed. 1,UL Environment,"August 17, 2016",
10010- 32,Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Building and Construction Sealant EPD Requirements,Ed. 1,UL Environment,"September 22, 2016",
10010- 33,Product Category Rules for preparing an environmental product declaration (EPD): ASTM PCR for Single Ply Roofing Membranes,Ed. 1,UL Environment,"May 08, 2019",
10010- 34,Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Designated Steel Construction Product EPD Requirements,Ed. 2,UL Environment,"August 26, 2020",
10010- 36,Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Roof Cover Protection Board EPD Requirements,Ed. 1,UL Environment,"November 02, 2021",
10010- 37,"PCR for Construction Product-Related Products and Services: Part B Expanded Shale, Clay, and Slate Lightweight Aggregates EPD Requirements",Ed. 2,UL Environment,"January 25, 2022",
10010- 38,PCR for Construction Product-Related Products and Services Part B: Aluminum Construction Product EDP Requirements,Ed. 1,UL Environment,"February 16, 2022",
10010- 39,"PCR for Construction Product-Related Products and Services Part B: Cement-based Grout, Adhesive Mortar and Self-Leveling Underlayment EPD Requirements",Ed. 1,UL Environment,"July 25, 2022",
10377,CAN/UL Standard for Consumer Product Safety - Guidelines for Suppliers / Sécurité des produits de consommation - Lignes directrices pour les fournisseurs,Ed. 1,UL,"April 28, 2017",uliso
120002,Recommended Practice for Certificates for Equipment for Hazardous (Classified) Locations,Ed. 2,UL,"March 03, 2022",ulstd
120101,Standard for Definitions and Information Pertaining to Electrical Equipment in Hazardous Locations,Ed. 1,UL,"December 03, 2019",ulstd
120202,"Recommendations for the Preparation, Content, and Organization of Intrinsic Safety Control Drawings",Ed. 1,UL,"September 08, 2014",ulisa
121201,"Nonincendive Electrical Equipment for Use in Class I and II, Division 2 and Class III, Divisions 1 and 2 Hazardous (Classified) Locations",Ed. 9,UL,"September 15, 2017",ulcsa
121203,"Recommended Practice for Portable Electronic Products Suitable for Use in Class I and II, Division 2, Class I, Zone 2 and Class III, Division 2 and 2 Hazardous (Classified) Locations",Ed. 2,UL,"January 14, 2021",ulstd
121303,Guide for Use of Detectors for Flammable Gases,Ed. 1,UL,"September 09, 2020",ulfm
122001,"General Requirements for Electrical Ignition Systems for Internal Combustion Engines in Class I, Division 2 or Zone 2, Hazardous (Classified) Locations",Ed. 1,UL,"August 29, 2014",ulisa
122701,Requirements for Process Sealing Between Electrical Systems and Flammable or Combustible Process Fluids,Ed. 3,UL,"May 12, 2017",ulstd
122701,Requirements for Process Sealing Between Electrical Systems and Flammable or Combustible Process Fluids,Ed. 4,UL,"September 29, 2022",ulstd
12402- 3,"Personal Flotation Devices - Part 3: Lifejackets, Performance Level 150 - Safety Requirements",Ed. 1,UL,"November 03, 2022",csdsproposal
12402- 4,"ANSI/CAN/UL Personal Flotation Devices - Part 4: Lifejackets, Performance Level 100 - Safety Requirements / Équipements individuels de flottabilité - partie 4 : gilets de sauvetage, niveau de performance 100 - exigences de sécurité",Ed. 1,UL,"July 09, 2020",uliso
12402- 5,Personal Flotation Devices - Part 5: Buoyancy Aids (Level 50) - Safety Requirements / Équipements individuels de flottabilité/Vêtements de flottaison individuels - Partie 5 : Aides à la flottabilité (niveau 50) - Exigences de sécurité,Ed. 1,UL,"December 31, 2015",uliso
12402- 6,Personal Flotation Devices - Part 6: Special Purpose Lifejackets and Buoyancy Aids - Safety Requirements and Additional Test Methods,Ed. 1,UL,"March 10, 2023",csdsproposal
12402- 9,Personal Flotation Devices - Part 9: Test Methods / Équipements individuels de flottabilité/ Vêtements de flottaison individuels - Partie 9 : Méthodes d'essai,Ed. 1,UL,"December 31, 2015",uliso
15027- 2,"ANSI/CAN/UL Standard for Immersion suits - Part 2: Abandonment Suits, Requirements Including Safety / Combinaisons d’immersion – Partie 2 : Combinaisons d’abandon, exigences, y compris la sécurité",Ed. 1,UL,"July 27, 2020",uliso
15027- 3,ANSI/CAN/UL Standard for Immersion Suits - Part 3: Test Methods / Combinaisons de protection thermique en cas d'immersion - Partie 3 : Méthodes d'essai,Ed. 1,UL,"September 08, 2020",uliso
24480,Design Guideline for Promoting Circadian Entrainment with Light for Day-Active People,Ed. 1,Underwriters Laboratories Inc,"December 19, 2019",
60034- 1,Standard for Rotating Electrical Machines - Part 1: Rating and Performance,Ed. 2,UL,"September 18, 2018",uliec
60034- 2-1,Rotating electrical machines - Part 2-1: Standard methods for determining losses and efficiency from tests (excluding machines for traction vehicles),Ed. 1,UL,"February 21, 2017",uliec
60034- 5,Rotating Electrical Machines - Part 5: Degrees of Protection Provided by the Integral Design of Rotating Electrical Machines (IP Code) - Classification,Ed. 1,UL,"January 16, 2019",uliec
60065,"Standard for Audio, Video and Similar Electronic Apparatus - Safety Requirements",Ed. 8,UL,"September 30, 2015",uliec
60079- 0,Explosive Atmospheres - Part 0: Equipment - General Requirements,Ed. 6,UL,"July 26, 2013",ulisaiec
60079- 0,Explosive Atmospheres - Part 0: Equipment - General Requirements,Ed. 7,UL,"March 26, 2019",uliec
60079- 1,Explosive Atmospheres - Part 1: Equipment Protection by Flameproof Enclosures “d”,Ed. 7,UL,"September 18, 2015",uliec
60079- 2,Explosive Atmospheres - Part 2: Equipment Protection by Pressurized Enclosure “p”,Ed. 6,UL,"June 02, 2017",uliec
60079- 5,Explosive Atmospheres - Part 5: Equipment protection by powder filling 'q',Ed. 4,UL,"April 29, 2016",uliec
60079- 6,Explosive atmospheres - Part 6: Equipment protection by oil immersion 'o',Ed. 4,UL,"April 29, 2016",uliec
60079- 7,Electrical Apparatus for Explosive Gas Atmospheres - Part 7: Increased Safety 'e',Ed. 4,UL,"October 15, 2008",ulisaiec
60079- 7,Explosive Atmospheres - Part 7: Equipment protection by increased safety 'e',Ed. 5,UL,"February 24, 2017",uliec
60079- 11,"Explosive Atmospheres - Part 11: Equipment Protection by Intrinsic Safety ""i""",Ed. 6,UL,"February 15, 2013",ulisaiec
60079- 13,Explosive Atmospheres - Part 13: Equipment Protection by Pressurized Room,Ed. 2,UL,"June 27, 2022",uliec
60079- 15,"Electrical Apparatus for Explosive Gas Atmospheres - Part 15: Construction, Test and Marking of Type of Protection 'n' Electrical Apparatus",Ed. 4,UL,"February 15, 2013",ulisaiec
60079- 15,"Explosive atmospheres - Part 15: Equipment protection by type of protection ""n""",Ed. 5,UL,"April 07, 2020",uliec
60079- 17,Explosive Atmospheres – Part 17: Electrical Installations Inspection and Maintenance,Ed. 5,UL,"May 12, 2017",uliec
60079- 18,Explosive atmospheres - Part 18: Equipment protection by encapsulation “m”,Ed. 4,UL,"December 14, 2015",uliec
60079- 25,Explosive Atmospheres – Part 25: Intrinsically Safe Electrical Systems,Ed. 2,UL,"December 02, 2011",ulisaiec
60079- 26,Explosive Atmospheres – Part 26: Equipment with Equipment Protection Level (EPL) Ga,Ed. 3,UL,"April 21, 2017",uliec
60079- 28,Explosive Atmospheres - Part 28: Protection of Equipment and Transmission Systems Using Optical Radiation,Ed. 2,UL,"September 15, 2017",uliec
60079- 29-1,Explosive Atmospheres - Part 29-1: Gas Detectors - Performance Requirements of Detectors for Flammable Gases,Ed. 2,UL,"May 31, 2019",ulfm
60079- 29-2,"Explosive Atmospheres – Part 29-2: Gas Detectors – Selection, Installation, Use and Maintenance of Detectors for Flammable Gases and Oxygen",Ed. 2,UL,"October 15, 2018",ulfm
60079- 29-4,Explosive Atmospheres - Part 29-4: Gas Detectors - Performance Requirements of Open Path Detectors for Flammable Gases,Ed. 1,UL,"August 24, 2018",ulfm
60079- 30-1,Explosive Atmospheres - Part 30-1: Electrical Resistance Trace Heating - General and Testing Requirements,Ed. 1,UL,"May 05, 2017",uliec
60079- 31,"Explosive Atmospheres - Part 31: Equipment Dust Ignition Protection by Enclosure ""t""",Ed. 2,UL,"June 12, 2015",ulisaiec
60079- 33,"Explosive Atmospheres - Part 33: Equipment Protection by Special Protection ""s""",Ed. 1,UL,"May 25, 2021",uliec
60079- 46,Recommended Practice for Explosive Atmospheres - Part 46: Equipment Assemblies,Ed. 1,UL,"July 22, 2022",uliec
60079- 47,Explosive Atmospheres - Part 47: Equipment Protection by 2-Wire Intrinsically Safe Ethernet Concept (2-WISE),Ed. 1,UL,"March 15, 2022",uliec
60086- 4,Primary Batteries - Part 4: Safety of Lithium Batteries,Ed. 1,UL,"May 22, 2015",uliec
60320- 1,Appliance Couplers for Household and Similar General Purposes - Part 1: General Requirements,Ed. 2,UL,"May 12, 2011",ulcsaiec
60320- 1,Appliances Couplers for Household and Similar General Purposes - Part 1: General Requirements,Ed. 3,UL,"February 15, 2019",ulcsaiec
60320- 3,Appliance Couplers for Household and Similar General Purposes – Part 3: Standard Sheets and Gauges,Ed. 1,UL,"February 15, 2019",ulcsaiec
60335- 1,"Standard for Safety of Household and Similar Electrical Appliances, Part 1: General Requirements",Ed. 4,UL,"March 05, 2004",uliec
60335- 1,"Standard for Safety of Household and Similar Electrical Appliances, Part 1: General Requirements",Ed. 5,UL,"October 31, 2011",ulcsaanceiec
60335- 1,"Safety of Household and Similar Appliances, Part 1: General Requirements",Ed. 6,UL,"October 31, 2016",ulcsaiec
60335- 2-3,"Standard for Safety of Household and Similar Electrical Appliances, Part 2: Particular Requirements for Electric Irons",Ed. 5,UL,"July 14, 2004",uliec
60335- 2-8,"Standard for Safety for Household and Similar Electrical Appliances, Part 2: Particular Requirements for Shavers, Hair Clippers, and Similar Appliances",Ed. 6,UL,"June 25, 2018",uliec
60335- 2-14,"Subject 60335-2-14 Household and Similar Electrical Appliances, Part 2: Particular Requirements for for Kitchen Machines",Ed. 4,UL,"April 24, 2003",
60335- 2-14,Subject 60335-2-14,Ed. 1,UL,"May 25, 2004",
60335- 2-24,"Safety Requirements for Household and Similar Electrical Appliances, Part 2: Particular Requirements for Refrigerating Appliances, Ice-Cream Appliances and Ice-Makers",Ed. 2,UL,"April 28, 2017",ulcsaiec
60335- 2-24,"Household and Similar Electrical Appliances - Safety - Part 2-24: Particular Requirements for Refrigerating Appliances, Ice-Cream Appliances and Ice-Makers",Ed. 3,UL,"July 29, 2022",ulcsaiec
60335- 2-25,Subject for Household and Similar Electrical Appliances,Ed. 1,UL,"June 18, 1999",
60335- 2-29,Household and similar electrical appliances - Safety - Part 2-29: Particular requirements for battery chargers,Ed. 1,UL,"October 12, 2020",ulcsaiec
60335- 2-32,Subject 60335-2-32,Ed. 1,UL,"May 25, 2004",
60335- 2-34,Household and Similar Electrical Appliances - Safety - Part 2-34: Particular Requirements for Motor-Compressors,Ed. 6,UL,"November 03, 2017",ulcsaiec
60335- 2-40,"Household And Similar Electrical Appliances - Safety - Part 2-40: Particular Requirements for Electrical Heat Pumps, Air-Conditioners and Dehumidifiers",Ed. 3,UL,"November 01, 2019",ulcsaiec
60335- 2-40,"Household and Similar Electrical Appliances - Safety - Part 2-40: Particular Requirements for Electrical Heat Pumps, Air-Conditioners and Dehumidifiers",Ed. 4,UL,"December 15, 2022",ulcsaiec
60335- 2-52,Household and similar electrical appliances - Safety - Part 2-52: Particular requirements for oral hygiene appliances,Ed. 1,UL,"April 24, 2020",uliec
60335- 2-67,"Household and Similar Electrical Appliances - Safety - Part 2-67: Particular Requirements for Floor Treatment Machines, for Commercial Use",Ed. 1,UL,"December 22, 2017",ulcsaiec
60335- 2-67,"Household and Similar Electrical Appliances - Safety - Part 2-67: Particular Requirements for Floor Treatment Machines, for Commercial Use",Ed. 2,UL,"June 04, 2021",ulcsaiec
60335- 2-68,"Standard for Household And Similar Electrical Appliances - Safety - Part 2-68: Particular Requirements for Spray Extraction Machines, for Commercial Use",Ed. 1,UL,"May 08, 2020",ulcsaiec
60335- 2-69,"Household and Similar Electrical Appliances - Safety - Part 2-69: Particular requirements for wet and dry vacuum cleaners, including power brush, for commercial use",Ed. 1,UL,"March 25, 2022",ulcsaiec
60335- 2-72,"Household and Similar Electrical Appliances - Safety - Part 2-72: Particular Requirements for Floor Treatment Machines With or Without Traction Drive, for Commercial Use",Ed. 1,UL,"September 15, 2017",ulcsaiec
60335- 2-72,"Household and Similar Electrical Appliances - Safety - Part 2-72: Particular Requirements for Floor Treatment Machines With or Without Traction Drive, for Commercial Use",Ed. 2,UL,"June 04, 2021",ulcsaiec
60335- 2-79,Household and Similar Electrical Appliances - Safety - Part 2-79: Particular Requirements for High Pressure Cleaners and Steam Cleaners,Ed. 1,UL,"January 14, 2016",uliec
60335- 2-82,Subject 60335-2-82,Ed. 1,UL,"May 25, 2004",
